Genome,ERR11181229.sorted Relative Abundance (%),ERR11181230.sorted Relative Abundance (%),ERR11181231.sorted Relative Abundance (%),ERR11181232.sorted Relative Abundance (%),ERR11181233.sorted Relative Abundance (%),ERR11181234.sorted Relative Abundance (%),ERR11181235.sorted Relative Abundance (%),ERR11181236.sorted Relative Abundance (%),ERR11181237.sorted Relative Abundance (%),ERR11181238.sorted Relative Abundance (%),ERR11181239.sorted Relative Abundance (%),ERR11181240.sorted Relative Abundance (%),ERR11181241.sorted Relative Abundance (%),ERR11181242.sorted Relative Abundance (%),ERR11181243.sorted Relative Abundance (%),ERR11181244.sorted Relative Abundance (%),ERR11181245.sorted Relative Abundance (%),ERR11181246.sorted Relative Abundance (%),ERR11181247.sorted Relative Abundance (%),ERR11181248.sorted Relative Abundance (%),ERR11181249.sorted Relative Abundance (%),ERR11181250.sorted Relative Abundance (%),TotalAbundance
binning_output.213,0.01690279,0.0,0.018189825,0.034911543,0.020306833,0.062182482,0.028632198,0.08715587,0.051330265,0.0,0.0,0.030087452,0.0,0.0207343,0.040022053,0.0,0.07378489,0.017365478,0.012319891,0.013542991,0.0,0.0,0.527468861
binning_output.223,0.035870053,0.038177207,0.02497928,0.027396986,0.025788477,0.024211073,0.022581626,0.0,0.0,0.02243577,0.0,0.06263344,0.02974936,0.033702854,0.046655558,0.02860515,0.0,0.032938972,0.029118203,0.018838555,0.023612032,0.0,0.527294596
binning_output.211,0.033019092,0.0,0.029790198,0.0,0.0173201,0.019556899,0.026794137,0.013663363,0.015042577,0.029055052,0.0,0.018702833,0.023235992,0.016992113,0.013002863,0.02978033,0.02838547,0.022304125,0.03274378,0.065601565,0.08978292,0.0,0.524773409
binning_output.191,0.0,0.0,0.0,0.01796465,0.0,0.0,0.04799546,0.0,0.0,0.047037583,0.0,0.0,0.056088235,0.022339579,0.0,0.10282372,0.0,0.032066178,0.0142460605,0.0,0.114223935,0.069481075,0.5242664754999999
binning_output.208,0.046370786,0.0,0.04135662,0.017623836,0.037459526,0.0,0.017855583,0.0,0.01599512,0.028951643,0.0,0.0,0.027819928,0.053284414,0.011775143,0.058053207,0.02040415,0.019465115,0.035350803,0.04292804,0.048841834,0.0,0.5235357479999999
binning_output.231,0.03197475,0.0,0.029648658,0.04061981,0.027663795,0.03350679,0.02099909,0.017055111,0.034811772,0.013992678,0.0,0.025939679,0.027601251,0.014058948,0.035565764,0.027237777,0.033857338,0.053095702,0.021171382,0.03001311,0.0,0.0,0.5188134050000001
binning_output.249,0.0,0.0,0.035563104,0.0,0.0,0.04313666,0.06676128,0.0,0.022510344,0.04147182,0.032110147,0.0,0.10025472,0.0,0.008901166,0.021723986,0.025310554,0.048338544,0.052215125,0.018046651,0.0,0.0,0.516344101
binning_output.212,0.024319211,0.0,0.03379622,0.032308485,0.03313945,0.042899046,0.032829322,0.0,0.01819361,0.012498784,0.0,0.08274282,0.036994066,0.032709856,0.05210305,0.0,0.0,0.01696177,0.028647082,0.013921067,0.015176192,0.0,0.5092400309999999
binning_output.251,0.028544597,0.0,0.017821243,0.02262605,0.022162115,0.018247273,0.018867405,0.013974313,0.02627532,0.021354912,0.04360424,0.028734902,0.0229557,0.04844661,0.0137808295,0.034375045,0.041274678,0.033229038,0.016593678,0.035954576,0.0,0.0,0.5088225245
binning_output.229,0.0,0.0,0.018839188,0.023065764,0.0,0.019484874,0.043675277,0.0,0.0,0.029286291,0.0,0.017717933,0.11608091,0.017789647,0.028283913,0.07485511,0.032972902,0.0,0.01181952,0.0,0.070725255,0.0,0.504596584
